-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
-    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
 -1000.0     89
  975.0    317   22.6   21.0     91  16.34    175      9  297.9  345.5  300.8
  951.0    532   24.6   19.6     74  15.34    201     32  302.1  347.6  304.8
  944.0    596   24.4   19.4     74  15.26    208     39  302.5  347.8  305.2
  942.5    610   24.5   19.3     73  15.17    210     40  302.7  347.9  305.5
  925.0    773   25.8   17.8     61  14.06    215     40  305.7  348.1  308.3
  916.0    859   26.0   17.0     58  13.49    218     40  306.7  347.6  309.2
  910.3    914   25.6   16.9     58  13.44    220     40  306.9  347.6  309.4
  879.2   1219   23.4   16.0     63  13.19    225     33  307.6  347.7  310.1
  850.0   1515   21.2   15.2     69  12.94    220     30  308.3  347.8  310.7
  849.1   1524   21.1   15.2     69  12.92    220     29  308.4  347.8  310.8
  819.3   1829   18.8   13.8     73  12.29    230     29  309.0  346.6  311.3
  790.6   2134   16.4   12.5     78  11.68    240     23  309.6  345.5  311.8
  763.0   2438   14.0   11.2     83  11.09    245     20  310.2  344.4  312.3
  738.0   2722   11.8   10.0     89  10.55    236     16  310.8  343.4  312.8
  736.2   2743   11.8    9.6     87  10.30    235     16  311.0  342.8  312.9
  712.0   3023   11.2    4.2     62   7.31    203     22  313.3  336.4  314.7
  709.9   3048   11.0    4.0     62   7.24    200     22  313.4  336.3  314.8
  700.0   3165   10.2    3.2     62   6.93    200     21  313.8  335.7  315.1
  675.0   3467    7.6    2.6     71   6.88    200     20  314.1  336.0  315.4
  659.4   3658    6.9   -4.2     45   4.28    200     19  315.4  329.4  316.3
  618.0   4190    5.0  -23.0     11   0.98    196     13  319.1  322.7  319.3
  612.1   4267    4.4  -22.1     13   1.07    195     12  319.3  323.2  319.6
  589.3   4572    2.0  -18.4     20   1.52    215     10  320.1  325.4  320.4
  567.4   4877   -0.3  -14.8     33   2.14    225      5  320.8  328.2  321.2
  548.0   5157   -2.5  -11.5     50   2.91    230     10  321.4  331.3  322.0
  525.7   5486   -3.3  -22.9     20   1.16    235     15  324.3  328.5  324.5
  525.0   5496   -3.3  -23.3     20   1.12    236     15  324.4  328.5  324.6
  519.0   5587   -3.9  -17.9     33   1.81    245     16  324.7  331.1  325.1
  500.0   5880   -6.3  -16.3     45   2.15    275     18  325.3  332.9  325.7
  486.2   6096   -7.9  -16.4     50   2.19    275     17  326.0  333.6  326.4
  467.5   6401  -10.1  -16.6     59   2.24    255     18  326.9  334.8  327.3
  445.0   6782  -12.9  -16.9     72   2.30    271     22  328.0  336.1  328.4
  431.9   7010  -14.2  -17.5     76   2.26    280     24  329.1  337.2  329.6
  429.0   7061  -14.5  -17.6     77   2.25    280     25  329.4  337.4  329.9
  400.0   7590  -17.5  -24.5     54   1.32    275     32  332.2  337.0  332.4
  398.4   7620  -17.7  -25.3     51   1.24    270     31  332.3  336.9  332.6
  377.0   8032  -19.9  -35.9     23   0.48    277     32  334.6  336.5  334.8
  345.0   8682  -25.7  -35.7     39   0.53    287     34  335.4  337.5  335.5
  334.0   8916  -27.9  -32.3     66   0.77    291     34  335.5  338.4  335.6
  323.6   9144  -29.3  -31.8     79   0.83    295     35  336.6  339.8  336.7
  321.0   9201  -29.7  -31.7     83   0.84    295     36  336.8  340.1  337.0
  309.9   9449  -31.6  -34.6     74   0.66    295     40  337.6  340.2  337.8
  300.0   9680  -33.3  -37.4     67   0.51    305     41  338.3  340.4  338.4
  296.8   9754  -33.8  -37.7     68   0.50    300     37  338.6  340.6  338.7
  285.0  10039  -35.9  -38.9     74   0.46    298     43  339.6  341.5  339.7
  282.0  10112  -35.7  -43.7     44   0.28    298     45  340.9  342.1  341.0
  262.0  10620  -38.9  -49.9     30   0.15    295     56  343.5  344.1  343.5
  260.2  10668  -39.4  -49.9     32   0.15    295     57  343.5  344.2  343.5
  250.0  10940  -41.9  -49.9     41   0.16    300     61  343.6  344.3  343.7
  248.8  10973  -42.2  -50.0     43   0.16    295     60  343.6  344.3  343.7
  241.0  11186  -44.3  -50.3     51   0.16    298     62  343.6  344.3  343.7
  232.0  11439  -46.5  -54.5     40   0.10    302     65  344.1  344.5  344.1
  229.0  11525  -46.5  -67.5      7   0.02    303     66  345.4  345.4  345.4
  219.0  11819  -48.7  -58.7     30   0.06    307     70  346.4  346.7  346.4
  202.0  12346  -51.3  -74.3      5   0.01    315     76  350.4  350.4  350.4
  201.0  12378  -51.3  -71.3      7   0.01    315     76  350.9  350.9  350.9
  200.0  12410  -51.3  -68.3     11   0.02    315     76  351.4  351.5  351.4
  197.3  12497  -51.8  -69.8     10   0.02    315     76  352.0  352.1  352.0
  176.0  13230  -55.7  -82.7      2   0.00    311     71  357.2  357.2  357.2
  150.0  14230  -62.5  -87.5      2   0.00    305     63  362.2  362.2  362.2
  126.7  15240  -70.0  -88.5      5   0.00    310     54  366.6  366.6  366.6
  120.5  15545  -72.3  -88.7      7   0.00    310     44  367.8  367.8  367.8
  113.0  15928  -75.1  -89.1     10   0.00    310     46  369.2  369.3  369.2
  107.0  16245  -75.9  -90.9      8   0.00    310     48  373.5  373.5  373.5
  103.1  16459  -73.7  -88.7      9   0.00    310     50  381.6  381.6  381.6
  100.0  16640  -71.9  -86.9      9   0.00    295     32  388.6  388.6  388.6
   97.9  16764  -71.7  -87.4      8   0.00    295     32  391.3  391.3  391.3
   88.4  17374  -70.6  -89.8      4   0.00    305      8  405.2  405.2  405.2
   84.0  17678  -70.0  -90.9      3   0.00    295     20  412.3  412.3  412.3
   79.8  17983  -69.5  -92.1      2   0.00    325     11  419.5  419.5  419.5
   75.8  18288  -68.9  -93.3      2   0.00    235     10  426.8  426.8  426.8
   74.5  18392  -68.7  -93.7      2   0.00    254     10  429.4  429.4  429.4
   72.9  18523  -65.7  -94.7      1   0.00    277     10  438.4  438.4  438.4
   72.1  18593  -65.6  -94.6      1   0.00    290     10  439.9  439.9  439.9
   70.0  18770  -65.5  -94.5      1   0.00    225     13  443.9  443.9  443.9
   68.5  18898  -64.8  -94.1      1   0.00    205     10  448.1  448.1  448.1
   65.2  19202  -63.0  -93.3      1   0.00    230     13  458.3  458.3  458.3
   62.4  19473  -61.5  -92.5      1   0.00    292     12  467.6  467.6  467.6
   62.1  19507  -61.4  -92.4      1   0.00    300     12  468.5  468.5  468.5
   50.0  20850  -58.7  -89.7      1   0.00    195      7  504.7  504.7  504.7
   48.6  21031  -58.3  -89.5      1   0.00    195     11  509.7  509.7  509.7
   46.3  21336  -57.7  -89.0      1   0.00    215      3  518.2  518.2  518.2
   42.1  21946  -56.5  -88.2      1   0.00    145     11  535.5  535.5  535.5
   40.1  22250  -55.9  -87.8      1   0.00    185     10  544.4  544.4  544.4
   36.5  22860  -54.7  -87.0      1   0.01      0      0  562.6  562.6  562.6
   30.1  24079  -52.3  -85.3      1   0.01      0      0  600.8  600.9  600.8
   30.0  24100  -52.3  -85.3      1   0.01     35     12  601.5  601.5  601.5
   28.7  24384  -52.0  -85.0      1   0.01     20     10  609.9  610.0  609.9
   27.4  24689  -51.7  -84.7      1   0.01     55     17  619.0  619.1  619.0
   26.7  24855  -51.5  -84.5      1   0.01     67     19  624.1  624.2  624.1
   24.9  25298  -53.0  -85.5      1   0.01    100     24  632.2  632.3  632.2
   23.8  25603  -54.0  -86.2      1   0.01    135     16  637.9  638.0  637.9
   23.0  25815  -54.7  -86.7      1   0.01    121     17  641.8  641.9  641.9
   22.7  25908  -54.1  -86.3      1   0.01    115     17  646.2  646.3  646.2
   20.6  26518  -50.4  -84.0      1   0.02    135     12  675.3  675.5  675.3
   20.2  26655  -49.5  -83.5      1   0.02     84     10  682.0  682.1  682.0
   20.0  26720  -49.5  -83.5      1   0.02     60      9  683.9  684.1  683.9
   18.8  27127  -48.7  -83.1      1   0.02    130      2  698.5  698.8  698.5
   17.9  27432  -48.1  -82.8      1   0.02     10     10  709.7  709.9  709.7
   17.1  27737  -47.5  -82.4      1   0.03     10     15  721.0  721.3  721.0
   16.8  27867  -47.3  -82.3      1   0.03                725.9  726.2  725.9
