-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
-    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
- 1000.0     83
  974.0    317   30.8   19.8     52  15.16    190     14  306.2  352.1  309.0
  942.6    610   27.9   18.8     58  14.69    195     21  306.2  350.5  308.9
  925.0    778   26.2   18.2     61  14.43    200     20  306.1  349.7  308.7
  910.7    914   24.9   17.7     64  14.22    205     20  306.2  349.1  308.8
  879.5   1219   22.1   16.6     71  13.74    210     24  306.3  347.9  308.9
  850.0   1517   19.4   15.6     79  13.29    215     24  306.4  346.6  308.9
  849.3   1524   19.3   15.6     79  13.28    215     25  306.5  346.6  308.9
  837.0   1650   18.2   15.3     83  13.23    217     24  306.5  346.6  309.0
  819.7   1829   17.3   13.4     78  11.94    220     22  307.5  343.8  309.7
  805.0   1984   16.6   11.8     73  10.91    230     20  308.3  341.6  310.3
  800.0   2037   17.2    9.2     59   9.21    234     20  309.5  337.9  311.2
  791.0   2134   16.8    8.4     58   8.84    240     19  310.1  337.5  311.7
  763.2   2438   15.7    6.0     53   7.76    235     15  312.0  336.4  313.5
  756.0   2519   15.4    5.4     51   7.49    232     14  312.6  336.1  314.0
  739.0   2712   15.4   -7.6     20   2.93    226     12  314.6  324.3  315.1
  736.3   2743   15.2   -7.8     20   2.90    225     12  314.7  324.4  315.3
  736.0   2746   15.2   -7.8     20   2.90    225     12  314.7  324.4  315.3
  710.1   3048   12.6   -6.1     27   3.43    210     11  315.1  326.5  315.8
  700.0   3168   11.6   -5.4     30   3.67    230     10  315.3  327.4  316.0
  697.0   3204   11.4   -4.6     32   3.92    231     10  315.5  328.3  316.2
  684.5   3353   10.2   -5.9     32   3.62    235      8  315.8  327.7  316.5
  659.5   3658    7.9   -8.5     30   3.06    265      9  316.5  326.7  317.1
  635.6   3962    5.5  -11.2     29   2.57    265     10  317.2  325.9  317.7
  612.5   4267    3.1  -13.8     28   2.16    255     10  317.9  325.2  318.3
  611.0   4287    3.0  -14.0     27   2.13    256     10  317.9  325.2  318.3
  579.0   4720    0.6  -25.4     12   0.84    285      9  320.0  323.1  320.2
  567.8   4877    0.1  -19.0     22   1.51    295      9  321.2  326.5  321.5
  566.0   4902    0.0  -18.0     24   1.65    295      9  321.4  327.2  321.7
  541.0   5261   -3.5  -11.5     54   2.95    292      8  321.4  331.4  322.0
  525.8   5486   -5.2  -15.2     45   2.24    290      8  322.0  329.8  322.5
  519.0   5588   -5.9  -16.9     42   1.97    287     11  322.3  329.2  322.7
  516.0   5634   -6.1  -14.1     53   2.50    286     12  322.6  331.2  323.1
  508.0   5756   -6.1  -21.1     29   1.41    283     15  324.1  329.1  324.3
  500.0   5880   -6.9  -16.9     45   2.05    280     18  324.6  331.8  325.0
  486.3   6096   -8.1  -26.8     21   0.88    280     18  325.7  329.0  325.9
  466.0   6427   -9.9  -41.9      5   0.21    278     23  327.4  328.3  327.5
  457.0   6577  -10.7  -39.7      7   0.27    277     25  328.3  329.3  328.3
  444.0   6798  -12.3  -19.3     56   1.88    276     29  329.0  335.7  329.3
  439.0   6885  -12.5  -25.5     33   1.10    276     30  329.8  333.9  330.0
  432.0   7008  -12.9  -25.9     33   1.08    275     32  330.8  334.8  331.0
  431.9   7010  -12.9  -25.9     33   1.08    275     32  330.8  334.8  331.0
  409.0   7423  -15.9  -30.9     26   0.72    275     33  332.1  334.9  332.3
  400.0   7590  -17.1  -26.1     46   1.14    275     33  332.7  336.9  332.9
  398.4   7620  -17.4  -26.2     46   1.14    270     32  332.7  337.0  332.9
  385.0   7875  -19.7  -26.7     54   1.12    283     33  332.9  337.1  333.1
  382.4   7925  -20.0  -28.1     48   0.99    285     33  333.1  336.9  333.3
  371.0   8149  -21.5  -34.5     30   0.56    286     34  334.1  336.2  334.2
  360.0   8369  -23.5  -38.5     24   0.38    287     34  334.3  335.8  334.4
  323.2   9144  -30.8  -41.5     34   0.31    290     37  334.6  335.9  334.7
  318.0   9260  -31.9  -41.9     36   0.30    290     36  334.7  335.9  334.7
  314.0   9349  -32.7  -47.7     21   0.16    290     35  334.8  335.5  334.8
  311.0   9417  -32.1  -65.1      2   0.02    290     34  336.5  336.6  336.5
  309.6   9449  -32.3  -65.0      2   0.02    290     34  336.7  336.8  336.7
  300.0   9670  -33.7  -64.7      3   0.02    305     41  337.8  337.9  337.8
  259.7  10668  -39.0  -67.4      3   0.02    305     60  344.3  344.3  344.3
  253.0  10849  -39.9  -67.9      3   0.02    305     68  345.4  345.5  345.4
  250.0  10930  -40.7  -68.7      3   0.01    305     72  345.4  345.5  345.4
  248.4  10973  -41.0  -68.8      3   0.01    305     72  345.6  345.6  345.6
  216.4  11887  -48.4  -69.8      7   0.01    310     74  348.1  348.1  348.1
  201.0  12378  -52.3  -70.3     10   0.01    315     75  349.3  349.4  349.3
  200.0  12410  -52.5  -71.5      8   0.01    315     75  349.5  349.5  349.5
  198.0  12475  -52.7  -72.9      7   0.01    315     75  350.1  350.1  350.1
  188.2  12802  -54.0  -80.2      3   0.00    315     75  353.3  353.3  353.3
  187.0  12843  -54.1  -81.1      2   0.00    315     75  353.7  353.7  353.7
  150.0  14230  -62.7  -85.7      3   0.00    315     65  361.9  361.9  361.9
  133.4  14935  -67.2  -87.5      4   0.00    315     64  366.2  366.2  366.2
  126.8  15240  -69.1  -88.3      5   0.00    310     48  368.0  368.0  368.0
  120.6  15545  -71.1  -89.2      5   0.00    300     45  369.8  369.8  369.8
  115.0  15830  -72.9  -89.9      6   0.00    300     54  371.5  371.5  371.5
  114.6  15850  -72.7  -89.7      6   0.00    285     48  372.2  372.2  372.2
  108.9  16154  -70.1  -87.1      7   0.00    295     54  382.6  382.6  382.6
  108.0  16202  -69.7  -86.7      7   0.00    299     51  384.3  384.3  384.3
  103.4  16459  -70.0  -86.5      7   0.00    320     32  388.4  388.4  388.4
  100.0  16660  -70.3  -86.3      8   0.00    285     28  391.6  391.7  391.6
   98.3  16764  -70.5  -86.5      8   0.00    290     26  393.2  393.2  393.2
   93.3  17069  -71.1  -87.1      8   0.00    285     28  397.9  397.9  397.9
   91.3  17201  -71.3  -87.3      8   0.00    289     30  400.0  400.0  400.0
   88.7  17374  -71.0  -88.1      6   0.00    295     32  403.9  403.9  403.9
   84.3  17678  -70.5  -89.6      5   0.00    305     27  410.8  410.8  410.8
   80.1  17983  -70.0  -91.0      3   0.00    260     12  417.9  417.9  417.9
   76.1  18288  -69.5  -92.4      2   0.00    230     14  425.1  425.1  425.1
   75.9  18300  -69.5  -92.5      2   0.00    232     14  425.4  425.4  425.4
   70.0  18790  -64.7  -93.7      1   0.00    305      9  445.6  445.6  445.6
   68.8  18898  -63.9  -93.4      1   0.00    255     19  449.7  449.7  449.7
   67.7  18994  -63.1  -93.1      1   0.00    272     16  453.4  453.4  453.4
   66.2  19132  -63.5  -93.5      1   0.00    295     12  455.4  455.4  455.4
   62.3  19507  -62.9  -92.9      1   0.00      0      0  464.8  464.8  464.8
   59.3  19812  -62.4  -92.3      1   0.00     55     10  472.6  472.6  472.6
   55.7  20195  -61.7  -91.7      1   0.00     62      7  482.5  482.6  482.5
   53.5  20446  -58.5  -89.5      1   0.00     67      5  495.5  495.5  495.5
   50.0  20870  -59.1  -90.1      1   0.00     75      2  503.8  503.8  503.8
   46.7  21299  -59.7  -90.7      1   0.00     11      4  512.3  512.3  512.3
   46.4  21336  -59.6  -90.6      1   0.00      5      4  513.3  513.4  513.3
   40.2  22250  -57.3  -89.0      1   0.00    290     10  540.5  540.5  540.5
   38.4  22555  -56.6  -88.5      1   0.00    215      1  549.8  549.9  549.8
   36.6  22860  -55.8  -87.9      1   0.00     50     10  559.4  559.4  559.4
   33.2  23470  -54.3  -86.8      1   0.01     15     10  578.9  578.9  578.9
   30.2  24079  -52.8  -85.8      1   0.01     95     16  599.0  599.1  599.0
   30.0  24120  -52.7  -85.7      1   0.01    125     21  600.4  600.5  600.4
   27.9  24588  -51.5  -84.5      1   0.01    137     23  616.3  616.4  616.3
   27.5  24689  -52.3  -85.3      1   0.01    140     24  616.9  617.0  616.9
   26.9  24823  -53.3  -86.3      1   0.01    141     22  617.7  617.8  617.7
   25.0  25298  -52.4  -85.7      1   0.01    145     14  633.3  633.4  633.3
   23.8  25603  -51.8  -85.2      1   0.01      0      0  643.6  643.7  643.6
   20.0  26740  -49.7  -83.7      1   0.02     75     13  683.3  683.5  683.3
