-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
-    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
- 1000.0     96
  975.0    317   23.6   20.9     85  16.24    165      6  298.9  346.4  301.8
  944.0    604   27.2   19.2     62  15.07    189     36  305.3  350.7  308.1
  943.4    610   27.2   19.2     62  15.05    190     37  305.4  350.6  308.1
  925.0    785   26.2   18.2     61  14.43    195     34  306.1  349.7  308.7
  911.5    914   25.2   17.7     63  14.19    205     31  306.4  349.2  308.9
  880.2   1219   22.8   16.6     68  13.65    215     29  306.9  348.3  309.4
  850.0   1525   20.4   15.4     73  13.11    220     30  307.5  347.4  309.9
  820.5   1829   18.0   13.9     77  12.31    230     32  308.1  345.6  310.3
  809.0   1950   17.0   13.3     79  12.00    234     30  308.3  344.9  310.5
  791.6   2134   16.1   11.3     73  10.74    240     26  309.2  342.2  311.2
  763.7   2438   14.6    8.0     65   8.89    245     23  310.8  338.4  312.4
  736.7   2743   13.1    4.7     57   7.31    235     13  312.4  335.4  313.8
  714.0   3007   11.8    1.8     50   6.14    222     11  313.7  333.3  314.9
  710.5   3048   11.8   -1.6     39   4.80    220     11  314.2  329.7  315.1
  706.0   3102   11.8   -6.2     28   3.42    220     11  314.8  326.0  315.4
  700.0   3173   11.4   -8.6     24   2.87    220     11  315.1  324.6  315.6
  660.1   3658    8.1  -14.4     19   1.91    200      7  316.6  323.2  317.0
  621.0   4162    4.6  -20.4     14   1.22    192      5  318.2  322.6  318.5
  613.0   4267    3.8  -16.2     22   1.76    190      4  318.5  324.6  318.8
  594.0   4522    1.8   -6.2     55   4.07    332      1  319.1  332.6  319.9
  590.3   4572    1.4   -6.6     55   3.98      0      0  319.2  332.4  320.0
  568.3   4877   -0.9   -8.9     55   3.45    245      5  319.9  331.5  320.6
  550.0   5139   -2.9  -10.9     54   3.04    260      7  320.6  330.9  321.2
  526.3   5486   -4.8  -12.8     54   2.74    280     10  322.4  331.8  323.0
  500.0   5890   -6.9  -14.9     53   2.42    280     14  324.6  333.0  325.0
  486.9   6096   -8.1  -16.1     53   2.24    285     13  325.5  333.4  325.9
  475.0   6289   -9.3  -17.3     52   2.08    288     15  326.4  333.7  326.8
  449.9   6706  -11.6  -20.5     48   1.67    295     20  328.6  334.6  328.9
  422.0   7196  -14.3  -24.3     42   1.28    281     24  331.2  335.9  331.5
  400.0   7600  -17.3  -26.3     45   1.12    270     28  332.4  336.6  332.6
  398.9   7620  -17.5  -26.3     46   1.12    270     25  332.4  336.6  332.7
  347.0   8646  -26.3  -28.0     86   1.11    270     36  334.0  338.2  334.2
  337.8   8839  -27.9  -33.5     59   0.67    270     38  334.4  337.0  334.5
  330.0   9007  -29.3  -38.3     41   0.43    278     37  334.7  336.4  334.8
  323.7   9144  -30.7  -39.0     44   0.41    285     37  334.6  336.3  334.7
  321.0   9204  -31.3  -39.3     45   0.40    286     37  334.6  336.2  334.7
  310.0   9449  -32.5  -48.5     19   0.15    290     36  336.3  337.0  336.4
  306.0   9541  -32.9  -51.9     13   0.10    296     40  337.0  337.4  337.0
  300.0   9680  -34.1  -49.1     20   0.15    305     47  337.2  337.8  337.2
  296.8   9754  -34.7  -45.8     32   0.21    305     46  337.3  338.2  337.4
  296.0   9773  -34.9  -44.9     35   0.24    305     47  337.4  338.3  337.4
  292.0   9868  -35.3  -73.3      1   0.01    305     50  338.1  338.1  338.1
  286.0  10011  -36.5  -47.5     31   0.18    305     54  338.4  339.2  338.4
  284.0  10060  -36.5  -39.1     77   0.46    305     55  339.1  340.9  339.2
  280.0  10158  -36.9  -40.0     73   0.42    305     59  339.9  341.6  340.0
  277.0  10232  -37.3  -50.3     25   0.14    305     61  340.4  340.9  340.4
  276.0  10257  -37.1  -65.1      4   0.02    305     62  341.0  341.1  341.0
  271.7  10363  -37.9  -64.5      4   0.02    305     65  341.4  341.5  341.4
  259.8  10668  -40.1  -62.7      7   0.03    305     64  342.4  342.6  342.4
  250.0  10930  -42.1  -61.1     11   0.04    305     69  343.3  343.5  343.4
  240.0  11206  -43.9  -60.9     13   0.04    307     70  344.7  344.9  344.7
  205.0  12250  -51.7  -67.7     13   0.02    314     73  348.3  348.4  348.3
  200.0  12410  -52.5  -74.5      5   0.01    315     73  349.5  349.5  349.5
  185.0  12904  -54.9  -78.7      4   0.00    320     76  353.5  353.5  353.5
  179.2  13106  -55.9  -80.4      3   0.00    320     76  355.1  355.1  355.1
  154.0  14067  -60.5  -88.5      1   0.00    311     65  362.9  362.9  362.9
  150.0  14230  -62.3  -88.3      2   0.00    310     63  362.6  362.6  362.6
  127.0  15240  -70.3  -87.3      7   0.00    315     52  365.8  365.8  365.8
  127.0  15240  -70.3  -87.3      7   0.00    315     52  365.8  365.8  365.8
  114.5  15850  -72.8  -91.2      5   0.00    290     47  372.2  372.2  372.2
  110.0  16087  -73.7  -92.7      4   0.00    300     48  374.7  374.7  374.7
  108.8  16154  -72.0  -91.0      4   0.00    300     50  379.2  379.2  379.2
  108.0  16196  -70.9  -89.9      5   0.00    298     49  382.0  382.0  382.0
  100.0  16650  -72.7  -87.7      9   0.00    275     36  387.0  387.0  387.0
   98.1  16764  -72.7  -88.0      8   0.00    275     36  389.2  389.2  389.2
   88.4  17374  -72.7  -89.5      6   0.00    300     22  400.9  400.9  400.9
   87.5  17434  -72.7  -89.7      6   0.00    293     21  402.1  402.1  402.1
   85.6  17564  -69.9  -88.9      5   0.00    278     18  410.2  410.2  410.2
   84.0  17678  -69.6  -89.6      4   0.00    265     15  413.0  413.0  413.0
   79.8  17983  -68.9  -91.4      3   0.00    250     15  420.5  420.5  420.5
   72.1  18593  -67.5  -95.0      1   0.00    280     19  435.9  435.9  435.9
   70.0  18770  -67.1  -96.1      1   0.00      0      0  440.5  440.5  440.5
   69.2  18839  -67.1  -96.1      1   0.00    336      5  441.9  441.9  441.9
   68.5  18898  -66.2  -95.5      1   0.00    315     10  445.0  445.0  445.0
   66.0  19127  -62.9  -92.9      1   0.00    243     10  457.1  457.1  457.1
   65.2  19202  -62.7  -92.8      1   0.00    220     10  459.1  459.1  459.1
   62.1  19507  -61.9  -92.2      1   0.00    215     16  467.5  467.5  467.5
   59.1  19812  -61.0  -91.7      1   0.00    240     10  475.9  476.0  475.9
   55.2  20233  -59.9  -90.9      1   0.00    183     10  487.9  487.9  487.9
   52.4  20557  -60.9  -91.9      1   0.00    139      9  492.9  492.9  492.9
   50.4  20800  -57.9  -89.9      1   0.00    107      9  505.4  505.5  505.4
   50.0  20850  -58.1  -90.1      1   0.00    100      9  506.1  506.1  506.1
   46.3  21336  -58.0  -90.0      1   0.00    140      6  517.6  517.6  517.6
   44.1  21641  -58.0  -90.0      1   0.00    145      2  525.0  525.0  525.0
   41.7  21993  -57.9  -89.9      1   0.00    113      9  533.6  533.6  533.6
   40.0  22250  -56.8  -89.1      1   0.00     90     14  542.6  542.7  542.6
   37.0  22753  -54.5  -87.5      1   0.01    127     12  560.8  560.9  560.8
   36.4  22860  -54.9  -87.6      1   0.01    135     11  562.5  562.6  562.5
   35.1  23090  -55.7  -87.7      1   0.01    109     12  566.2  566.3  566.2
   34.7  23165  -55.7  -87.7      1   0.01    100     12  568.2  568.3  568.2
   31.5  23774  -55.4  -87.4      1   0.01    150     15  584.6  584.7  584.6
   30.1  24079  -55.3  -87.3      1   0.01    110     10  593.0  593.0  593.0
   30.0  24090  -55.3  -87.3      1   0.01    140     15  593.3  593.4  593.3
   28.7  24384  -54.6  -86.9      1   0.01    140     16  602.8  602.9  602.8
   27.3  24689  -54.0  -86.5      1   0.01    155     10  612.9  613.0  612.9
   24.9  25298  -52.6  -85.6      1   0.01     35     12  633.5  633.6  633.5
   23.7  25603  -52.0  -85.2      1   0.01     90     15  644.0  644.2  644.1
   22.6  25908  -51.3  -84.8      1   0.01    110     20  654.8  654.9  654.8
   21.6  26213  -50.6  -84.4      1   0.02     85     18  665.7  665.8  665.7
   20.5  26548  -49.9  -83.9      1   0.02                677.9  678.0  677.9
